,repo,size,path,lines
0,Vision-CAIR/MiniGPT-4,46415,LICENSE.md,1497
1,Vision-CAIR/MiniGPT-4,46415,LICENSE_Lavis.md,1502
2,Vision-CAIR/MiniGPT-4,46415,PrepareVicuna.md,1602
3,Vision-CAIR/MiniGPT-4,46415,README.md,8530
4,Vision-CAIR/MiniGPT-4,46415,dataset/README_1_STAGE.md,2798
5,Vision-CAIR/MiniGPT-4,46415,dataset/README_2_STAGE.md,511
6,Vision-CAIR/MiniGPT-4,46415,dataset/convert_cc_sbu.py,504
7,Vision-CAIR/MiniGPT-4,46415,dataset/convert_laion.py,508
8,Vision-CAIR/MiniGPT-4,46415,dataset/download_cc_sbu.sh,302
9,Vision-CAIR/MiniGPT-4,46415,dataset/download_laion.sh,303
10,Vision-CAIR/MiniGPT-4,46415,demo.py,5901
11,Vision-CAIR/MiniGPT-4,46415,environment.yml,1317
12,Vision-CAIR/MiniGPT-4,46415,eval_configs/minigpt4_eval.yaml,491
13,Vision-CAIR/MiniGPT-4,46415,examples/ad_1.png,367002
14,Vision-CAIR/MiniGPT-4,46415,examples/ad_2.png,441468
15,Vision-CAIR/MiniGPT-4,46415,examples/cook_1.png,520630
16,Vision-CAIR/MiniGPT-4,46415,examples/cook_2.png,565334
17,Vision-CAIR/MiniGPT-4,46415,examples/describe_1.png,658848
18,Vision-CAIR/MiniGPT-4,46415,examples/describe_2.png,538305
19,Vision-CAIR/MiniGPT-4,46415,examples/fact_1.png,451952
20,Vision-CAIR/MiniGPT-4,46415,examples/fact_2.png,634703
21,Vision-CAIR/MiniGPT-4,46415,examples/fix_1.png,666236
22,Vision-CAIR/MiniGPT-4,46415,examples/fix_2.png,565845
23,Vision-CAIR/MiniGPT-4,46415,examples/fun_1.png,687380
24,Vision-CAIR/MiniGPT-4,46415,examples/fun_2.png,579356
25,Vision-CAIR/MiniGPT-4,46415,examples/logo_1.png,182162
26,Vision-CAIR/MiniGPT-4,46415,examples/op_1.png,584367
27,Vision-CAIR/MiniGPT-4,46415,examples/op_2.png,611429
28,Vision-CAIR/MiniGPT-4,46415,examples/people_1.png,242325
29,Vision-CAIR/MiniGPT-4,46415,examples/people_2.png,295999
30,Vision-CAIR/MiniGPT-4,46415,examples/rhyme_1.png,567807
31,Vision-CAIR/MiniGPT-4,46415,examples/rhyme_2.png,777340
32,Vision-CAIR/MiniGPT-4,46415,examples/story_1.png,821927
33,Vision-CAIR/MiniGPT-4,46415,examples/story_2.png,546224
34,Vision-CAIR/MiniGPT-4,46415,examples/web_1.png,684863
35,Vision-CAIR/MiniGPT-4,46415,examples/wop_1.png,501315
36,Vision-CAIR/MiniGPT-4,46415,examples/wop_2.png,545622
37,Vision-CAIR/MiniGPT-4,46415,figs/examples/ad_1.png,367002
38,Vision-CAIR/MiniGPT-4,46415,figs/examples/ad_2.png,441468
39,Vision-CAIR/MiniGPT-4,46415,figs/examples/cook_1.png,520630
40,Vision-CAIR/MiniGPT-4,46415,figs/examples/cook_2.png,565334
41,Vision-CAIR/MiniGPT-4,46415,figs/examples/describe_1.png,658848
42,Vision-CAIR/MiniGPT-4,46415,figs/examples/describe_2.png,538305
43,Vision-CAIR/MiniGPT-4,46415,figs/examples/fact_1.png,451952
44,Vision-CAIR/MiniGPT-4,46415,figs/examples/fact_2.png,634703
45,Vision-CAIR/MiniGPT-4,46415,figs/examples/fix_1.png,666236
46,Vision-CAIR/MiniGPT-4,46415,figs/examples/fix_2.png,565845
47,Vision-CAIR/MiniGPT-4,46415,figs/examples/fun_1.png,687380
48,Vision-CAIR/MiniGPT-4,46415,figs/examples/fun_2.png,579356
49,Vision-CAIR/MiniGPT-4,46415,figs/examples/logo_1.png,182162
50,Vision-CAIR/MiniGPT-4,46415,figs/examples/op_1.png,584367
51,Vision-CAIR/MiniGPT-4,46415,figs/examples/op_2.png,611429
52,Vision-CAIR/MiniGPT-4,46415,figs/examples/people_1.png,242325
53,Vision-CAIR/MiniGPT-4,46415,figs/examples/people_2.png,295999
54,Vision-CAIR/MiniGPT-4,46415,figs/examples/rhyme_1.png,567807
55,Vision-CAIR/MiniGPT-4,46415,figs/examples/rhyme_2.png,777340
56,Vision-CAIR/MiniGPT-4,46415,figs/examples/story_1.png,821927
57,Vision-CAIR/MiniGPT-4,46415,figs/examples/story_2.png,546224
58,Vision-CAIR/MiniGPT-4,46415,figs/examples/web_1.png,684863
59,Vision-CAIR/MiniGPT-4,46415,figs/examples/wop_1.png,501315
60,Vision-CAIR/MiniGPT-4,46415,figs/examples/wop_2.png,545622
61,Vision-CAIR/MiniGPT-4,46415,figs/online_demo.png,1193374
62,Vision-CAIR/MiniGPT-4,46415,figs/overview.png,2399346
63,Vision-CAIR/MiniGPT-4,46415,minigpt4/__init__.py,951
64,Vision-CAIR/MiniGPT-4,46415,minigpt4/common/__init__.py,0
65,Vision-CAIR/MiniGPT-4,46415,minigpt4/common/config.py,15079
66,Vision-CAIR/MiniGPT-4,46415,minigpt4/common/dist_utils.py,3620
67,Vision-CAIR/MiniGPT-4,46415,minigpt4/common/gradcam.py,815
68,Vision-CAIR/MiniGPT-4,46415,minigpt4/common/logger.py,6001
69,Vision-CAIR/MiniGPT-4,46415,minigpt4/common/optims.py,3516
70,Vision-CAIR/MiniGPT-4,46415,minigpt4/common/registry.py,9915
71,Vision-CAIR/MiniGPT-4,46415,minigpt4/common/utils.py,13807
72,Vision-CAIR/MiniGPT-4,46415,minigpt4/configs/datasets/cc_sbu/align.yaml,102
73,Vision-CAIR/MiniGPT-4,46415,minigpt4/configs/datasets/cc_sbu/defaults.yaml,116
74,Vision-CAIR/MiniGPT-4,46415,minigpt4/configs/datasets/laion/defaults.yaml,114
75,Vision-CAIR/MiniGPT-4,46415,minigpt4/configs/default.yaml,141
76,Vision-CAIR/MiniGPT-4,46415,minigpt4/configs/models/minigpt4.yaml,597
77,Vision-CAIR/MiniGPT-4,46415,minigpt4/conversation/__init__.py,0
78,Vision-CAIR/MiniGPT-4,46415,minigpt4/conversation/conversation.py,7530
79,Vision-CAIR/MiniGPT-4,46415,minigpt4/datasets/__init__.py,0
80,Vision-CAIR/MiniGPT-4,46415,minigpt4/datasets/builders/__init__.py,1897
81,Vision-CAIR/MiniGPT-4,46415,minigpt4/datasets/builders/base_dataset_builder.py,8105
